,keyword,count
610,학생,6
611,처,6
612,마련,6
613,간호사,6
614,강원,6
615,시설,6
616,낭만,6
617,연휴,6
618,실패,6
619,나름,6
620,인사,6
621,얘,6
622,혼,6
623,조금씩,6
624,내색,6
625,그리스,6
626,마다,6
627,고마움,6
628,여행업,6
629,사이트,6
630,초등학교,6
631,퇴원,6
632,보상,6
633,단어,6
634,사정,6
635,겨울,6
636,희생,6
637,정부,6
638,방,6
639,중학교,6
640,고객들,6
641,크루즈,6
642,시험관,6
643,재작년,6
644,연락,6
645,자친구,6
646,구매,6
647,버킷,6
648,활력소,6
649,기대감,6
650,오,6
651,조용한,6
652,오랜만,6
653,오로라,6
654,팬데믹,6
655,필리핀,6
656,리조트,6
657,온라인,6
658,질,6
659,인터넷,6
660,준비해,6
661,진단,6
662,지하,6
663,감동,6
664,바램,6
665,행사,6
666,조심,6
667,출근,6
668,주부,6
669,전국,6
670,입사,6
671,청춘,6
672,노후,6
673,부인,6
674,인도,6
675,비롯,6
676,귀,6
677,수칙,6
678,국가,6
679,장모님,6
680,표현,6
681,정년퇴직,6
682,조카,6
683,시원,6
684,월말,6
685,확진자,6
686,배,6
687,형님,6
688,홧팅,6
689,생신,6
690,며칠,6
691,화이팅입니다,6
692,국민들,6
693,없,6
694,곳곳,6
695,지방,6
696,의욕,6
697,정보,6
698,이것,6
699,강,6
700,정리,6
701,허리,6
702,손자,6
703,하길,6
704,재개,5
705,열리,5
706,제공,5
707,녀석,5
708,방황,5
709,여건,5
710,동,5
711,놈,5
712,동네,5
713,수업,5
714,마주,5
715,전화,5
716,잔소리,5
717,가장,5
718,체험,5
719,내일,5
720,시점,5
721,손주,5
722,뭔가,5
723,다짐,5
724,홈페이지,5
725,중이,5
726,취직,5
727,쁘,5
728,불구,5
729,연속,5
730,조,5
731,시술,5
732,있,5
733,금지,5
734,예상,5
735,계약,5
736,꽃,5
737,티켓,5
738,지구,5
739,산,5
740,양,5
741,정지,5
742,호,5
743,트래블,5
744,화,5
745,계,5
746,할아버지,5
747,이곳저곳,5
748,태교,5
749,인,5
750,엄두,5
751,무엇,5
752,드,5
753,그녀,5
754,제약,5
755,애인,5
756,중간,5
757,선택,5
758,선생님,5
759,채,5
760,쯤,5
761,임직원,5
762,니,5
763,판정,5
764,즈음,5
765,모릅니,5
766,부족,5
767,직원들,5
768,힐링할,5
769,강아지,5
770,개국,5
771,설악,5
772,연기,5
773,있읍니다,5
774,변화,5
775,새벽,5
776,명절,5
777,대학교,5
778,수학,5
779,자격증,5
780,새삼,5
781,학기,5
782,일한,5
783,훨,5
784,거동,5
785,아이슬란드,5
786,지원,5
787,대한민국,5
788,가격,5
789,검색,5
790,전환,5
791,발견,5
792,끼,5
793,ㅡ,5
794,생애,5
795,이동,5
796,캐나다,5
797,두아들,5
798,싶읍니다,5
799,재활,5
800,선,5
801,고통,5
802,인천공항,5
803,완치,5
804,연인,5
805,요양원,5
806,문자,5
807,장기화,5
808,추진,5
809,향,5
810,펜데믹,5
811,절,5
812,온천,5
813,아가,5
814,이태,5
815,혜택,5
816,여의치,5
817,광고,5
818,저렴,5
819,다섯,5
820,초반,5
821,코스,5
822,구요,5
823,오픈,5
824,신부,5
825,강릉,5
826,십,4
827,소중한,4
828,안전한,4
829,포루투갈,4
830,영화,4
831,격상,4
832,여름휴가,4
833,불행,4
834,중단,4
835,자녀들,4
836,조촐,4
837,휴양지,4
838,천,4
839,예,4
840,성장,4
841,이탈리아어,4
842,추억들,4
843,랑,4
844,선선,4
845,대답,4
846,배낭,4
847,메,4
848,일탈,4
849,비슷,4
850,무기력,4
851,하늘나라,4
852,수학여행,4
853,제외,4
854,소,4
855,페키지,4
856,중요,4
857,배우자,4
858,때쯤,4
859,뇌경색,4
860,일상생활,4
861,충격,4
862,큰맘,4
863,ㅋ,4
864,취업준비,4
865,제대,4
866,검사,4
867,기획,4
868,회원,4
869,가입,4
870,퇴,4
871,물론,4
872,로또,4
873,목적,4
874,층,4
875,신경,4
876,직업,4
877,현장,4
878,선물해,4
879,대부분,4
880,전역,4
881,보름,4
882,퇴사,4
883,가치,4
884,만기,4
885,깨끗,4
886,버스,4
887,월초,4
888,북부,4
889,돌,4
890,일흔,4
891,경기,4
892,경우,4
893,홀,4
894,진도,4
895,복,4
896,가족들이,4
897,동해,4
898,한마디,4
899,불편한,4
900,학원,4
901,보홀,4
902,포인트,4
903,긍정,4
904,실수,4
905,영향,4
906,참석,4
907,합,4
908,옛날,4
909,푸켓,4
910,달콤한,4
911,서너,4
912,일행들,4
913,위드,4
914,막,4
915,숲,4
916,아메리카노,4
917,점,4
918,회상,4
919,월달,4
920,조식,4
921,아프,4
922,켄싱턴,4
923,과,4
924,마음속,4
925,가성비,4
926,끝나길,4
927,엊그제,4
928,팬더믹,4
929,완전,4
930,응모해,4
931,여행간,4
932,손가락,4
933,체력,4
934,여행이,4
935,하와이,4
936,아무데도,4
937,화창,4
938,히,4
939,원망,4
940,경주,4
941,물거품,4
942,우울감,4
943,사실,4
944,안하,4
945,성실,4
946,설계,4
947,궁금,4
948,타격,4
949,아들들,4
950,금년,4
951,ㅋㅋ,4
952,항암,4
953,죄송한,4
954,피,4
955,연로,4
956,운,4
957,승승장구,4
958,번창하길,4
959,두려움,4
960,특성상,4
961,사치,4
962,열,4
963,소홀,4
964,그리움,4
965,어딘가,4
966,취준생,4
967,자유로,4
968,체,4
969,비용,4
970,티비,4
971,될까봐,4
972,서부,4
973,착용,4
974,심,4
975,일날,4
976,놀러가,4
977,지인,4
978,ㅠㅠㅠ,4
979,증가,4
980,댁,4
981,관리,4
982,되시길,4
983,모임,4
984,직후,4
985,역사,4
986,근처,4
987,완화,4
988,짓,4
989,응급실,4
990,폐업,4
991,아름다움,4
992,종식되서,4
993,연말,4
994,공간,4
995,장기간,4
996,좋,4
997,셋이,4
998,방송,4
999,싱가폴,4
1000,눈치,4
1001,톡,4
1002,마인드,4
1003,불,4
1004,초록,4
1005,잠잠,4
1006,팔순잔치,4
1007,희망해,4
1008,다가,4
1009,추억여행,4
1010,강의,4
1011,노인,4
1012,선사,4
1013,재택근무,4
1014,독박육아,4
1015,주세요,4
1016,싶내요,4
1017,환자들,4
1018,자영업,4
1019,군,4
1020,동부,4
1021,투,4
1022,와이프에,4
1023,그전,4
1024,분명,4
1025,파이팅,4
1026,그해,4
1027,취미,4
1028,중학생,4
1029,아련,4
1030,소상공,4
1031,맨날,4
1032,장소,4
1033,이용해서,4
1034,구성,4
1035,신행,4
1036,봉사,3
1037,루,3
1038,권,3
1039,바퀴,3
1040,리프레쉬,3
1041,답답함,3
1042,창궐,3
1043,커피,3
1044,우정,3
1045,여행비,3
1046,무리,3
1047,푸꾸옥,3
1048,막학기,3
1049,지중해,3
1050,소설,3
1051,건조,3
1052,신혼부부,3
1053,조용,3
1054,유람선,3
1055,울릉,3
1056,해운대,3
1057,대전,3
1058,당일치기,3
1059,복무,3
1060,관광,3
1061,나이드,3
1062,마리아,3
1063,교수님,3
1064,염려,3
1065,부족한,3
1066,와중,3
1067,탈출구,3
1068,리저리,3
1069,입맛,3
1070,유쾌,3
1071,자랑,3
1072,현상,3
1073,코타키나발루,3
1074,다독,3
1075,금,3
1076,기미,3
1077,덤,3
1078,역경,3
1079,자체,3
1080,기념여행,3
1081,어디갈까,3
1082,한편,3
1083,내용,3
1084,선정,3
1085,익숙,3
1086,여름방학,3
1087,회식,3
1088,여행업체,3
1089,덕,3
1090,염치,3
1091,전주,3
1092,여자,3
1093,불가능,3
1094,왕복,3
1095,첨,3
1096,눈빛,3
1097,욕심,3
1098,결혼생활,3
1099,병동,3
1100,어르신들,3
1101,긴장,3
1102,치열,3
1103,환자,3
1104,상담,3
1105,흘렀,3
1106,유산,3
1107,사시,3
1108,재혼,3
1109,급,3
1110,장애인,3
1111,결정,3
1112,최선,3
1113,정규직,3
1114,불안,3
1115,빚,3
1116,찰나,3
1117,절망,3
1118,이곳,3
1119,능력,3
1120,칭구,3
1121,욕,3
1122,도착,3
1123,흥분,3
1124,파리,3
1125,문화,3
1126,관심,3
1127,않,3
1128,배우,3
1129,해소,3
1130,한테,3
1131,국내외,3
1132,병마,3
1133,치료제,3
1134,다같,3
1135,강원도,3
1136,호전,3
1137,경찰,3
1138,시집,3
1139,어학연수,3
1140,북,3
1141,와이,3
1142,무더위,3
1143,찌,3
1144,마트,3
1145,든든,3
1146,교통사고,3
1147,바닥,3
1148,좌절,3
1149,부분,3
1150,하와,3
1151,동의,3
1152,제한,3
1153,어린이집,3
1154,생각지도,3
1155,지속,3
1156,동반,3
1157,런지,3
1158,했,3
1159,자신감,3
1160,물가물,3
1161,사진첩,3
1162,숨통,3
1163,초년생,3
1164,너머,3
1165,배경,3
1166,노랑색,3
1167,월급,3
1168,맘,3
1169,입시,3
1170,건강검진,3
1171,사회복지사,3
1172,소규모,3
1173,전염병,3
1174,지루,3
1175,업무,3
1176,가운데,3
1177,가방,3
1178,우연,3
1179,동기,3
1180,통보,3
1181,정상화,3
1182,다니길,3
1183,마치,3
1184,명예퇴직,3
1185,시댁,3
1186,외식,3
1187,종식되기만,3
1188,인천,3
1189,년도,3
1190,발칸반도,3
1191,안정,3
1192,질병,3
1193,축복,3
1194,절실,3
1195,내미,3
1196,해방,3
1197,돌아오길,3
1198,학수고대,3
1199,방법,3
1200,며,3
1201,알뜰,3
1202,실속,3
1203,그땐,3
1204,숙박비,3
1205,차량,3
1206,미소,3
1207,결혼기념,3
1208,효,3
1209,큰딸,3
1210,설악산,3
1211,바닷가,3
1212,단조로운,3
1213,모친,3
1214,부친,3
1215,허전,3
1216,재,3
1217,상,3
1218,서른,3
1219,전념,3
1220,생활비,3
1221,신뢰,3
1222,공직생활,3
1223,애락,3
1224,죽,3
1225,어깨,3
1226,다립니,3
1227,지난날,3
1228,모양,3
1229,찾아뵙지,3
1230,전면,3
1231,잔,3
1232,하구요,3
1233,실정,3
1234,옷,3
1235,역할,3
1236,바깥,3
1237,기업,3
1238,백령,3
1239,철,3
1240,창립일,3
1241,트럭,3
1242,언젠간,3
1243,거란,3
1244,빠듯,3
1245,저편,3
1246,정말,3
1247,후반,3
1248,발칸,3
1249,충,3
1250,잎,3
1251,블라디보스톡,3
1252,예매,3
1253,국내여행,3
1254,마흔,3
1255,신혼여행지,3
1256,구석,3
1257,가길,3
1258,추카,3
1259,사,3
1260,공주님,3
1261,테,3
1262,공사,3
1263,솔직,3
1264,잠,3
1265,이틀,3
1266,감옥살이,3
1267,친정어머니,3
1268,오빠,3
1269,남동생,3
1270,형제,3
1271,손주들,3
1272,조카들,3
1273,심정,3
1274,당첨되,3
1275,풍광,3
1276,이집트,3
1277,경제,3
1278,자축,3
1279,여행사들,3
1280,발전하시길,3
1281,처리,3
1282,감염,3
1283,엉망,3
1284,아프리카,3
1285,거주,3
1286,딸래미,3
1287,손녀들,3
1288,마니아,3
1289,싶습,3
1290,무언가,3
1291,번창하시길,3
1292,한라산,3
1293,천사,3
1294,소중함,3
1295,어딜,3
1296,창살,3
1297,베이징,3
1298,건강관리,3
1299,사고,3
1300,야행,3
1301,스타벅스,3
1302,영국,3
1303,이혼,3
1304,집안일,3
1305,동행,3
1306,종식되,3
1307,자전거,3
1308,걸,3
1309,여생,3
1310,실행,3
1311,소박,3
1312,낙,3
1313,서방님,3
1314,콧바람,3
1315,목적지,3
1316,학원비,3
1317,지루한,3
1318,한국의,3
1319,노래,3
1320,사회적,3
1321,허무,3
1322,한동안,3
1323,서비스,3
1324,음,3
1325,멍,3
1326,친정엄마,3
1327,잘못,3
1328,통증,3
1329,캄보디아,3
1330,답답한,3
1331,재밌,3
1332,다음날,3
1333,권태,3
1334,완벽,3
1335,소소한,3
1336,행복감,3
1337,러시아,3
1338,코로나로부터,3
1339,남친,3
1340,근속,3
1341,폭포,3
1342,담당자,3
1343,좋겟어요,3
1344,자제,3
1345,지경,3
1346,관련,3
1347,어제,3
1348,교사,3
1349,낮,3
1350,코앞,3
1351,매일,3
1352,계곡,3
1353,백령도,3
1354,언능,3
1355,무한,3
1356,가우디,3
1357,성당,3
1358,히말라야,3
1359,거대,3
1360,부모님들,3
1361,경치,3
1362,유방암,3
1363,씨름,3
1364,다둥,3
1365,어디론가,3
1366,종료,3
1367,계획도,3
1368,고개,3
1369,골절,3
1370,아픕니,3
1371,파랑,3
1372,도쿄,3
1373,나이들기,3
1374,홀가분,3
1375,소리,3
1376,고생하시,3
1377,최근,3
1378,아이들이,3
1379,손님,3
1380,희,3
1381,랑풍선,3
1382,카톡,3
1383,저녁,3
1384,할게요,3
1385,본,3
1386,렵니,3
1387,야외,3
1388,올림픽,3
1389,하시길,3
1390,사랑해,2
1391,의료진들,2
1392,허니문,2
1393,성,2
1394,준수,2
1395,인고,2
1396,큽니,2
1397,유학,2
1398,독일,2
1399,영상,2
1400,크리스마스,2
1401,빵,2
1402,축하해,2
1403,년생,2
1404,사법고시,2
1405,진정한,2
1406,싹다,2
1407,싶습니,2
1408,꿈이,2
1409,기억되,2
1410,지구촌,2
1411,이십,2
1412,근래,2
1413,다녀왔,2
1414,수첩,2
1415,오롯,2
1416,반찬,2
1417,보답,2
1418,실천,2
1419,파도,2
1420,풍성한,2
1421,두아이,2
1422,문명,2
1423,먹방,2
1424,기분전환,2
1425,왕가,2
1426,자산,2
1427,저금,2
1428,무력감,2
1429,나이듦,2
1430,만족감,2
1431,막막,2
1432,군데,2
1433,보라카이로,2
1434,성심성의껏,2
1435,축제,2
1436,많,2
1437,고등학생,2
1438,산토,2
1439,뿌듯,2
1440,베트,2
1441,ㅋㅋㅋ,2
1442,심근경색,2
1443,론,2
1444,알츠하이머,2
1445,그늘,2
1446,전부,2
1447,보호자,2
1448,스,2
1449,아시아권,2
1450,정년퇴임,2
1451,반쪽,2
1452,미녀,2
1453,바보,2
1454,조아하,2
1455,두해,2
1456,담당,2
1457,케어,2
1458,교대,2
1459,기저귀,2
1460,보람,2
1461,전쟁터,2
1462,연,2
1463,군인,2
1464,훈련,2
1465,사라지길,2
1466,님,2
1467,항공사,2
1468,운항,2
1469,진,2
1470,사장님,2
1471,열등감,2
1472,불확실,2
1473,자격,2
1474,아이러니하,2
1475,담,2
1476,미안해,2
1477,식도락,2
1478,밭,2
1479,겁,2
1480,청년,2
1481,가즈아,2
1482,동창들,2
1483,행동,2
1484,분위기,2
1485,개선,2
1486,보류,2
1487,병행,2
1488,순위,2
1489,남부,2
1490,강제,2
1491,융프라우,2
1492,미테,2
1493,백야,2
1494,노르웨,2
1495,프로,2
1496,제도,2
1497,시행,2
1498,델타,2
1499,유튜브,2
1500,상생활,2
1501,슝슝,2
1502,관광업계,2
1503,피해,2
1504,내수,2
1505,견문,2
1506,예방,2
1507,생계,2
1508,힘냅시,2
1509,산소,2
1510,반대,2
1511,수험생활,2
1512,타,2
1513,힌,2
1514,생각해,2
1515,위축,2
1516,애정,2
1517,한순간,2
1518,믿음,2
1519,어둠,2
1520,터널,2
1521,었습니다,2
1522,현실적,2
1523,한계,2
1524,자연환경,2
1525,작,2
1526,후반기,2
1527,돌파구,2
1528,코르,2
1529,돌핀,2
1530,스노쿨링,2
1531,쇼핑,2
1532,누군가,2
1533,파티,2
1534,당황,2
1535,칭찬,2
1536,앨범,2
1537,켠,2
1538,인원,2
1539,어찌,2
1540,급성,2
1541,참가,2
1542,횟수,2
1543,주장,2
1544,각시,2
1545,대중반,2
1546,끝자락,2
1547,튼튼,2
1548,해외여행가,2
1549,여러분들,2
1550,상실,2
1551,한시,2
1552,탈,2
1553,힐링하러,2
1554,중요한지,2
1555,아무,2
1556,픈,2
1557,ㅇ,2
1558,증정,2
1559,수입,2
1560,뜬금,2
1561,과거,2
1562,용돈,2
1563,상황들,2
1564,방해,2
1565,의견,2
1566,외부,2
1567,취약,2
